Generation,NumConvLayers,ConvSize,NumFCLayers,FCSize,Accuracy,Fitness,Training time
0,3,177,3,114,0.7623999714851379,0.25531332129407447,968.5782518386841
0,5,110,2,132,0.725600004196167,0.2658729214129212,535.9488871097565
0,1,159,2,230,0.6721000075340271,0.21452804521579022,1358.0749802589417
0,5,224,2,95,0.8033000230789185,0.25247382344962793,1519.5537860393524
0,4,19,3,46,0.6175000071525574,0.28021109355184665,159.8437979221344
0,3,250,3,204,0.7771000266075134,0.2387913330743426,1795.9979093074799
0,4,130,2,170,0.7670000195503235,0.27124166525120397,672.568820476532
0,5,198,3,96,0.7972999811172485,0.2545049639969146,1357.5262999534607
0,2,49,1,21,0.6596999764442444,0.2865592794604151,200.51246905326843
0,2,158,2,135,0.6930000185966492,0.2369922192346733,839.743617773056
0,3,145,3,63,0.7127000093460083,0.24602635400088077,788.577116727829
0,3,178,1,227,0.7853999733924866,0.25794785087159144,1108.6676726341248
0,3,41,2,29,0.6640999913215637,0.2844269696964531,216.207111120224
0,5,82,1,65,0.7554000020027161,0.2832344619777219,464.5669832229614
0,3,254,2,45,0.7574999928474426,0.22898421958492987,2032.7697603702545
0,5,224,3,234,0.7684000134468079,0.2426146819347462,1469.4744868278503
0,3,151,2,252,0.7739999890327454,0.2690918664949006,752.2134191989899
0,4,149,2,208,0.7813000082969666,0.27163335701938784,752.1485466957092
0,3,140,1,242,0.7896999716758728,0.2825354062749928,623.8035199642181
0,5,222,3,81,0.8004999756813049,0.2517174082181265,1514.0960144996643
1,3,178,1,227,0.7723000049591064,0.2581047726913687,982.1905562877655
1,3,128,3,204,0.7325999736785889,0.2688337543008704,531.0117466449738
1,5,222,3,46,0.7620000243186951,0.24020278461614444,1487.0298776626587
1,4,19,3,81,0.6392999887466431,0.2927919372682197,152.56739330291748
1,5,110,2,132,0.7526000142097473,0.2763319959101373,529.0973045825958
1,5,198,3,96,0.7958999872207642,0.25716809149107006,1244.121819972992
1,3,151,2,45,0.7573000192642212,0.2652524837422314,716.1693849563599
1,3,254,2,252,0.7669000029563904,0.23754452162169845,1692.183441400528
1,3,255,2,45,0.7978000044822693,0.24779526789529002,1658.0338070392609
1,3,254,2,29,0.7889999747276306,0.24559765938000205,1631.4404656887054
1,5,158,3,135,0.8001000285148621,0.27121986025865247,891.2618396282196
1,2,224,4,234,0.7303000092506409,0.23285729560005758,1368.5341880321503
1,1,159,3,234,0.6255000233650208,0.20069396064604042,1308.2351999282837
1,5,220,2,230,0.7986999750137329,0.2537523550843613,1404.6136856079102
1,3,121,1,65,0.7800999879837036,0.2869975892282776,522.5661294460297
1,5,178,1,227,0.7858999967575073,0.25979717106432104,1059.380982875824
1,5,82,1,21,0.7487000226974487,0.2900534211964634,381.28412342071533
1,1,49,1,65,0.6553999781608582,0.2915355916433195,177.05000114440918
1,5,224,2,95,0.8032000064849854,0.2552084689717367,1403.5600743293762
1,5,224,1,234,0.7925000190734863,0.25177191024243806,1405.0454633235931
2,2,254,2,29,0.6431000232696533,0.20372003319977144,1434.7737443447113
2,3,128,3,204,0.786300003528595,0.28866675435871464,529.5441651344299
2,5,178,4,227,0.7778000235557556,0.2561639309004829,1087.2690062522888
2,5,23,2,230,0.6389999985694885,0.28393433316206795,178.04113864898682
2,5,82,1,21,0.7447999715805054,0.28888195268557554,378.63054847717285
2,4,19,3,81,0.6409000158309937,0.2927570622888049,154.5920684337616
2,1,82,1,60,0.6583999991416931,0.2690796633550746,279.80728125572205
2,1,208,3,21,0.5763000249862671,0.21276371388402804,511.2563078403473
2,5,142,2,29,0.7759000062942505,0.2704617981971166,739.2597153186798
2,3,254,1,227,0.8190000057220459,0.2540556813175073,1673.7969739437103
2,5,224,3,234,0.7897999882698059,0.2504681391171497,1423.2960028648376
2,5,220,2,152,0.7897999882698059,0.2482755977132617,1517.5472736358643
2,5,49,1,65,0.7515000104904175,0.30981867430984344,266.44794511795044
2,2,224,4,234,0.7414000034332275,0.23277868242412664,1531.0859458446503
2,5,222,3,227,0.8077999949455261,0.25076371890180604,1664.7887344360352
2,5,178,1,93,0.791100025177002,0.2583577979085635,1153.5401065349579
2,5,158,3,135,0.7603999972343445,0.2553368996319555,950.662317276001
2,3,121,1,65,0.7842000126838684,0.28782768118528745,530.3308444023132
2,5,19,3,81,0.5232999920845032,0.23456166075265783,170.20403265953064
2,4,110,2,132,0.792900025844574,0.29377877266058544,499.99972772598267
3,5,234,2,132,0.8064000010490417,0.25033616787937096,1664.4411957263947
3,2,23,2,230,0.5774000287055969,0.2673175602424913,144.53662967681885
3,5,254,1,227,0.7942000031471252,0.24240460958966684,1889.471514225006
3,3,49,1,65,0.7401999831199646,0.31793544716922345,212.8852186203003
3,5,82,1,21,0.7360000014305115,0.2842081682787535,388.73274087905884
3,5,194,2,230,0.7784000039100647,0.2521160653019636,1223.1138653755188
3,2,23,2,230,0.6789000034332275,0.31172805487150346,150.61208248138428
3,5,254,2,251,0.7993999719619751,0.2436248866420889,1911.057960987091
3,1,82,1,60,0.6521000266075134,0.26477518908808967,290.2980737686157
3,1,208,3,21,0.5461999773979187,0.20080793177941478,524.8219208717346
3,5,23,2,29,0.6417999863624573,0.2860019295699915,175.4045102596283
3,2,254,4,230,0.734499990940094,0.22532829552469755,1818.394971370697
3,5,142,2,29,0.6355999708175659,0.22067044314076367,759.1246817111969
3,2,224,4,144,0.71670001745224,0.22824672537584068,1380.4580686092377
3,5,178,1,93,0.7872999906539917,0.2548648399235928,1227.6887681484222
3,5,142,2,29,0.7843000292778015,0.26966610874818275,809.8630125522614
3,4,82,1,21,0.6841999888420105,0.2627127844836804,402.1286630630493
3,5,110,2,132,0.7667999863624573,0.2754792295686187,607.4532916545868
3,3,121,1,132,0.7821999788284302,0.28340677654210666,575.4272000789642
3,4,110,2,65,0.7883999943733215,0.2887251987935014,537.8041245937347
4,2,151,2,230,0.6751000285148621,0.2284985260252291,900.544047832489
4,2,142,2,29,0.7192999720573425,0.2566344065893474,635.0672340393066
4,5,23,2,132,0.667900025844574,0.27599791303130217,262.99405312538147
4,5,110,2,29,0.7735000252723694,0.28155669624520346,558.7615697383881
4,2,254,3,21,0.6761999726295471,0.21244806252535867,1523.6859221458435
4,4,82,4,230,0.7602999806404114,0.2893157231071728,424.5461025238037
4,1,82,2,251,0.6776000261306763,0.23546573183877717,754.5729455947876
4,5,254,1,60,0.7827000021934509,0.2378847569193884,1950.9613146781921
4,3,49,1,227,0.7583000063896179,0.3154403997393776,253.47823333740234
4,5,236,2,65,0.7973999977111816,0.2440984433349763,1848.0546116828918
4,1,236,1,93,0.5720000267028809,0.1873099958496547,1131.7782793045044
4,5,111,1,60,0.739799976348877,0.2689143825276637,563.7173414230347
4,5,234,2,132,0.7799000144004822,0.24198103131702253,1671.013501882553
4,3,121,1,132,0.763700008392334,0.27881184675026843,548.432569026947
4,1,82,1,132,0.6852999925613403,0.25695674512533057,464.5000960826874
4,5,161,2,21,0.7662000060081482,0.25848856215255894,920.7768440246582
4,3,121,2,29,0.7897999882698059,0.28890465078679495,541.7187659740448
4,5,23,1,76,0.5491999983787537,0.24318162872400192,181.29852724075317
4,3,121,1,90,0.7763000130653381,0.28340200465900556,548.552875995636
4,5,234,2,132,0.7954999804496765,0.24672903728205062,1675.6552565097809
5,2,121,1,90,0.7257000207901001,0.26526507323805576,544.1944825649261
5,3,23,4,132,0.675599992275238,0.2990653461109579,181.56746768951416
5,1,236,1,161,0.6800000071525574,0.21209319828603934,1607.4509835243225
5,5,111,1,93,0.7748000025749207,0.27382648528779774,675.350270986557
5,4,82,4,230,0.7404000163078308,0.2819856669964815,422.3431215286255
5,5,23,2,212,0.5687999725341797,0.2509103198932596,184.90357518196106
5,3,121,1,194,0.7542999982833862,0.2738056575892379,568.687490940094
5,3,121,1,132,0.7842000126838684,0.2856274836161909,556.588408946991
5,4,49,1,227,0.7254999876022339,0.3040377429836187,243.3418791294098
5,4,82,4,230,0.7702000141143799,0.29611683551652634,399.0252900123596
5,2,161,2,21,0.6541000008583069,0.2294963144438998,708.1980180740356
5,1,142,2,29,0.6097000241279602,0.23577527185130512,385.42253708839417
5,2,121,1,29,0.7037000060081482,0.26302674095701745,473.58004784584045
5,3,151,2,230,0.8021000027656555,0.27936129435513607,743.3482437133789
5,4,72,1,25,0.7718999981880188,0.31547313424242257,279.7699444293976
5,3,82,4,230,0.7384999990463257,0.2851912297569592,388.58905696868896
5,5,161,2,29,0.7936000227928162,0.2679283072774254,916.1919600963593
5,4,121,2,21,0.6984999775886536,0.25317667704824237,574.0408897399902
5,5,121,1,65,0.786300003528595,0.2829924011163276,600.50945353508
5,1,236,2,132,0.6445000171661377,0.20682915106090763,1306.4673097133636
6,4,82,4,25,0.6715999841690063,0.26115793571598184,372.92704582214355
6,4,72,1,230,0.7785000205039978,0.32005672793678624,270.6333816051483
6,2,121,1,194,0.75,0.273457936882664,552.9070854187012
6,3,121,1,111,0.7879999876022339,0.28907511721553625,532.0286593437195
6,3,72,1,25,0.7491999864578247,0.31303512263336514,247.3669171333313
6,4,49,1,159,0.7163000106811523,0.30266821811731937,232.60436487197876
6,2,121,1,239,0.7656999826431274,0.2767824798442556,584.0261120796204
6,4,49,1,29,0.7145000100135803,0.3038932218445793,224.46819233894348
6,3,151,2,230,0.7642999887466431,0.2644101204994508,777.2938456535339
6,5,202,2,212,0.7802000045776367,0.2509807060566586,1284.1196901798248
6,4,82,4,230,0.7346000075340271,0.28317941139662156,392.749076128006
6,3,121,1,132,0.770799994468689,0.2830785789580443,528.3465003967285
6,3,121,1,65,0.7630000114440918,0.28112700272453645,517.6972513198853
6,5,121,1,194,0.7810999751091003,0.28196013116789553,589.1823420524597
6,1,23,2,25,0.6151000261306763,0.3029275223720154,107.28000617027283
6,4,193,1,212,0.7578999996185303,0.24903126326053465,1105.0781319141388
6,4,49,1,227,0.7414000034332275,0.3141724658364505,229.00783967971802
6,4,82,4,230,0.7567999958992004,0.29173342108003825,392.7797725200653
6,1,142,2,21,0.6093999743461609,0.23933885839495406,351.70672130584717
6,4,121,2,29,0.7669000029563904,0.2794553111745212,554.9668626785278
7,4,72,1,230,0.6848000288009644,0.28214869592527886,267.35549545288086
7,4,82,4,230,0.7621999979019165,0.29352412118946836,395.11192989349365
7,4,121,1,194,0.7994999885559082,0.29160823377948114,551.6861639022827
7,2,49,1,227,0.7408000230789185,0.3172919440661592,216.15155935287476
7,5,202,2,227,0.8011999726295471,0.25781620717585896,1281.2682266235352
7,4,49,1,212,0.7307000160217285,0.3102937583901831,226.39422130584717
7,3,256,2,194,0.7506999969482422,0.2347562086040002,1576.8322269916534
7,5,121,1,65,0.7821000218391418,0.2825306635604413,586.4016487598419
7,4,121,2,229,0.7811999917030334,0.28380226225617033,565.7450137138367
7,1,23,2,25,0.6133000254631042,0.3014348031945352,108.29354500770569
7,4,82,4,25,0.663100004196167,0.25804233959861,371.307177066803
7,2,121,4,194,0.7490000128746033,0.2716353312550726,571.9700803756714
7,1,142,1,230,0.675599992275238,0.22070220964353,1151.1669821739197
7,4,72,2,21,0.7383999824523926,0.30414588028477385,267.7825620174408
7,5,121,1,111,0.7850000262260437,0.2835682247288249,586.5341913700104
7,3,121,1,194,0.7840999960899353,0.2874084385864662,534.7775752544403
7,5,121,2,25,0.7350999712944031,0.2650747337322093,593.1712317466736
7,1,23,1,194,0.6230000257492065,0.28211031699032446,161.568261384964
7,2,49,1,159,0.7411999702453613,0.3108508291351096,302.2244324684143
7,4,121,1,194,0.7572000026702881,0.27591191040733165,555.078202009201
8,1,23,1,194,0.682699978351593,0.31170216841588144,154.96432399749756
8,4,121,1,194,0.7878999710083008,0.2871754394372896,554.1392683982849
8,4,121,1,194,0.7738999724388123,0.2821011145781953,553.7866525650024
8,4,195,4,230,0.7889000177383423,0.2573345156166207,1163.2138359546661
8,2,82,4,25,0.5669999718666077,0.22633623001714287,319.97971963882446
8,4,49,1,35,0.7480000257492065,0.31791522827342744,225.33494663238525
8,4,82,4,230,0.7644000053405762,0.2941945173837429,396.5344591140747
8,4,201,1,194,0.7797999978065491,0.2533267863145095,1197.3949949741364
8,4,121,1,194,0.7551000118255615,0.2746961457899241,560.8613362312317
8,5,202,2,227,0.7926999926567078,0.2550637713380591,1281.8883469104767
8,4,82,4,65,0.7213000059127808,0.2802768886206254,374.56441926956177
8,5,121,1,25,0.7720999717712402,0.27893056381767495,586.2357726097107
8,4,121,2,227,0.7810999751091003,0.283592176968763,567.9462034702301
8,2,49,1,229,0.7117000222206116,0.3046595229211413,216.7956039905548
8,5,121,2,25,0.7785000205039978,0.28096226577784217,589.9766035079956
8,3,256,2,194,0.8176000118255615,0.2557308938110649,1574.3846125602722
8,4,72,2,21,0.751800000667572,0.30971108189582824,267.5615088939667
8,4,121,1,194,0.7641000151634216,0.27854983368521713,553.5231378078461
8,2,72,1,230,0.7357000112533569,0.3001725976194924,282.438107252121
8,4,49,1,159,0.7354000210762024,0.31245557004837,225.74320912361145
9,4,121,1,194,0.7976999878883362,0.2906183201128182,555.6959617137909
9,4,201,1,194,0.7993999719619751,0.26017614959241153,1181.7718479633331
9,1,23,1,194,0.6614999771118164,0.30184061009117363,155.43683195114136
9,1,23,1,194,0.6866000294685364,0.31390186570683315,153.92455124855042
9,1,23,2,194,0.6585999727249146,0.29698840256541276,165.0421679019928
9,4,121,2,227,0.7515000104904175,0.2729328452786351,566.7931599617004
9,2,202,2,227,0.7590000033378601,0.24570009201484036,1227.8122041225433
9,5,202,2,227,0.7549999952316284,0.24230949655836745,1305.7192149162292
9,4,121,1,194,0.7251999974250793,0.2627822631134208,575.0414960384369
9,4,121,1,194,0.8069999814033508,0.28766556675252636,638.7646961212158
9,4,23,1,194,0.6018999814987183,0.2699775288292312,169.60737776756287
9,5,49,1,159,0.7594000101089478,0.30985825819492124,282.3566589355469
9,4,49,1,194,0.7350000143051147,0.3075034936343657,245.59345722198486
9,1,73,1,159,0.6633999943733215,0.24818542775489044,470.9788382053375
9,4,121,4,25,0.7109000086784363,0.2569869609247233,583.8324680328369
9,5,121,1,194,0.7775999903678894,0.27996495179997266,599.0878159999847
9,5,121,2,207,0.7002999782562256,0.25153855062176145,608.22771525383
9,4,72,2,25,0.7513999938964844,0.30756067973281265,277.3927550315857
9,5,256,2,194,0.7674000263214111,0.23584194697071417,1794.2138266563416
9,3,202,2,227,0.7856000065803528,0.2550980150404917,1201.159346818924
10,5,49,1,25,0.732200026512146,0.3061827490720864,246.25347328186035
10,4,72,2,159,0.7257999777793884,0.29362334019811065,296.3973138332367
10,4,201,1,194,0.741599977016449,0.24066324671851008,1206.3800220489502
10,4,121,1,194,0.7932000160217285,0.28715839280208766,578.413827419281
10,4,202,2,227,0.7799999713897705,0.252467956075788,1228.8556644916534
10,5,121,4,25,0.7268000245094299,0.2589864369367209,640.2132523059845
10,4,121,2,227,0.733299970626831,0.265117286600258,583.3719160556793
10,4,72,2,25,0.7498000264167786,0.30722990587719845,275.75138998031616
10,3,256,2,194,0.7967000007629395,0.24814501396045388,1624.1369383335114
10,1,23,1,194,0.6679999828338623,0.30313863226783133,159.81302857398987
10,2,202,1,194,0.7742999792098999,0.2515348295735553,1197.5709309577942
10,4,121,2,227,0.7814000248908997,0.282836989874964,579.0581502914429
10,1,23,2,194,0.5918999910354614,0.26603897548303373,167.82704186439514
10,1,73,1,159,0.609000027179718,0.22812949161974694,467.2363245487213
10,4,121,1,194,0.7778000235557556,0.28244960222946147,567.2384860515594
10,4,72,2,25,0.7142000198364258,0.2931836255219663,272.9078691005707
10,5,49,1,159,0.6305999755859375,0.26391928437545187,245.11325573921204
10,1,73,1,159,0.6692000031471252,0.2505286727610317,468.97679328918457
10,4,121,4,227,0.7746000289916992,0.27878979851246993,600.3955898284912
10,4,212,1,194,0.8123999834060669,0.2614029577376706,1281.8742215633392
